2026-05-26T00:15:06+00:00 | unclear | long=0.207365 short=0.792340 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 00:00:00 close=0.005548
2026-05-26T00:30:07+00:00 | unclear | long=0.574848 short=0.424719 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 00:15:00 close=0.005543
2026-05-26T00:45:03+00:00 | unclear | long=0.791184 short=0.208350 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 00:30:00 close=0.005522
2026-05-26T01:00:05+00:00 | long    | long=0.916224 short=0.083314 | tp=0.006225 sl=0.005305 | 1000SHIBUSDT m15 | bar=2026-05-26 00:45:00 close=0.005521
2026-05-26T01:15:05+00:00 | long    | long=0.919261 short=0.080277 | tp=0.006222 sl=0.005302 | 1000SHIBUSDT m15 | bar=2026-05-26 01:00:00 close=0.005518
2026-05-26T01:30:05+00:00 | unclear | long=0.888796 short=0.110741 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 01:15:00 close=0.005509
2026-05-26T01:45:03+00:00 | long    | long=0.951999 short=0.047535 | tp=0.006196 sl=0.005280 | 1000SHIBUSDT m15 | bar=2026-05-26 01:30:00 close=0.005495
2026-05-26T02:00:07+00:00 | long    | long=0.936508 short=0.063038 | tp=0.006197 sl=0.005280 | 1000SHIBUSDT m15 | bar=2026-05-26 01:45:00 close=0.005496
2026-05-26T02:15:08+00:00 | long    | long=0.938042 short=0.061505 | tp=0.006198 sl=0.005281 | 1000SHIBUSDT m15 | bar=2026-05-26 02:00:00 close=0.005497
2026-05-26T02:30:04+00:00 | unclear | long=0.833115 short=0.166428 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 02:15:00 close=0.005501
2026-05-26T02:45:05+00:00 | unclear | long=0.654790 short=0.344759 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 02:30:00 close=0.005502
2026-05-26T03:00:07+00:00 | unclear | long=0.240780 short=0.758919 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 02:45:00 close=0.005505
2026-05-26T03:15:06+00:00 | unclear | long=0.605082 short=0.394484 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 03:00:00 close=0.005489
2026-05-26T03:30:04+00:00 | unclear | long=0.882316 short=0.117228 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 03:15:00 close=0.005502
2026-05-26T03:45:06+00:00 | unclear | long=0.874844 short=0.124705 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 03:30:00 close=0.005502
2026-05-26T04:00:05+00:00 | unclear | long=0.475949 short=0.523648 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 03:45:00 close=0.005503
2026-05-26T04:15:04+00:00 | unclear | long=0.212365 short=0.787337 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 04:00:00 close=0.005511
2026-05-26T04:30:04+00:00 | unclear | long=0.306547 short=0.693104 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 04:15:00 close=0.005535
2026-05-26T04:45:05+00:00 | unclear | long=0.486156 short=0.513427 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 04:30:00 close=0.005530
2026-05-26T05:00:07+00:00 | unclear | long=0.493259 short=0.506315 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 04:45:00 close=0.005532
2026-05-26T05:15:05+00:00 | unclear | long=0.498819 short=0.500761 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 05:00:00 close=0.005540
2026-05-26T05:30:05+00:00 | unclear | long=0.190539 short=0.809177 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 05:15:00 close=0.005551
2026-05-26T05:45:06+00:00 | unclear | long=0.145566 short=0.854181 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 05:30:00 close=0.005553
2026-05-26T06:00:06+00:00 | unclear | long=0.256673 short=0.743002 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 05:45:00 close=0.005553
2026-05-26T06:15:06+00:00 | unclear | long=0.387861 short=0.611753 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 06:00:00 close=0.005547
2026-05-26T06:30:04+00:00 | unclear | long=0.660974 short=0.338566 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 06:15:00 close=0.005546
2026-05-26T06:45:05+00:00 | unclear | long=0.511371 short=0.488206 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 06:30:00 close=0.005558
2026-05-26T07:00:06+00:00 | unclear | long=0.523920 short=0.475654 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 06:45:00 close=0.005554
2026-05-26T07:15:07+00:00 | unclear | long=0.498045 short=0.501533 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 07:00:00 close=0.005537
2026-05-26T07:30:05+00:00 | unclear | long=0.377899 short=0.621719 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 07:15:00 close=0.005540
2026-05-26T07:45:06+00:00 | unclear | long=0.342940 short=0.656694 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 07:30:00 close=0.005532
2026-05-26T08:00:07+00:00 | unclear | long=0.291875 short=0.707786 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 07:45:00 close=0.005535
2026-05-26T08:15:06+00:00 | unclear | long=0.195467 short=0.804249 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 08:00:00 close=0.005542
2026-05-26T08:30:04+00:00 | short   | long=0.055694 short=0.944137 | tp=0.004916 sl=0.005769 | 1000SHIBUSDT m15 | bar=2026-05-26 08:15:00 close=0.005543
2026-05-26T08:45:06+00:00 | short   | long=0.086192 short=0.913607 | tp=0.004919 sl=0.005772 | 1000SHIBUSDT m15 | bar=2026-05-26 08:30:00 close=0.005546
2026-05-26T09:00:08+00:00 | unclear | long=0.124466 short=0.875299 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 08:45:00 close=0.005541
2026-05-26T09:15:07+00:00 | unclear | long=0.166052 short=0.833684 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 09:00:00 close=0.005544
2026-05-26T09:30:07+00:00 | unclear | long=0.142593 short=0.857161 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 09:15:00 close=0.005552
2026-05-26T09:45:03+00:00 | unclear | long=0.283808 short=0.715856 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 09:30:00 close=0.005550
2026-05-26T10:00:09+00:00 | unclear | long=0.193644 short=0.806074 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 09:45:00 close=0.005547
2026-05-26T10:15:04+00:00 | unclear | long=0.256996 short=0.742680 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 10:00:00 close=0.005553
2026-05-26T10:30:06+00:00 | unclear | long=0.163238 short=0.836502 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 10:15:00 close=0.005600
2026-05-26T10:45:04+00:00 | short   | long=0.087613 short=0.912185 | tp=0.004977 sl=0.005841 | 1000SHIBUSDT m15 | bar=2026-05-26 10:30:00 close=0.005612
2026-05-26T11:00:07+00:00 | unclear | long=0.150561 short=0.849182 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 10:45:00 close=0.005612
2026-05-26T11:15:06+00:00 | unclear | long=0.146599 short=0.853144 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 11:00:00 close=0.005598
2026-05-26T11:30:05+00:00 | unclear | long=0.414396 short=0.585202 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 11:15:00 close=0.005606
2026-05-26T11:45:05+00:00 | unclear | long=0.122769 short=0.877001 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 11:30:00 close=0.005609
2026-05-26T12:00:08+00:00 | unclear | long=0.147563 short=0.852190 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 11:45:00 close=0.005598
2026-05-26T12:15:06+00:00 | unclear | long=0.179407 short=0.820323 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-26 12:00:00 close=0.005609
