2026-05-31T00:15:07+00:00 | unclear | long=0.432021 short=0.567582 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 00:00:00 close=0.005494
2026-05-31T00:30:06+00:00 | unclear | long=0.252933 short=0.746751 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 00:15:00 close=0.005499
2026-05-31T00:45:07+00:00 | unclear | long=0.440536 short=0.559061 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 00:30:00 close=0.005496
2026-05-31T01:00:03+00:00 | unclear | long=0.580135 short=0.419424 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 00:45:00 close=0.005501
2026-05-31T01:15:04+00:00 | unclear | long=0.561657 short=0.437905 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 01:00:00 close=0.005500
2026-05-31T01:30:05+00:00 | unclear | long=0.269193 short=0.730479 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 01:15:00 close=0.005505
2026-05-31T01:45:07+00:00 | unclear | long=0.216918 short=0.782784 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 01:30:00 close=0.005507
2026-05-31T02:00:09+00:00 | unclear | long=0.166486 short=0.833253 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 01:45:00 close=0.005513
2026-05-31T02:15:06+00:00 | unclear | long=0.278612 short=0.721055 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 02:00:00 close=0.005531
2026-05-31T02:30:08+00:00 | unclear | long=0.357075 short=0.642558 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 02:15:00 close=0.005514
2026-05-31T02:45:06+00:00 | unclear | long=0.438887 short=0.560713 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 02:30:00 close=0.005511
2026-05-31T03:00:08+00:00 | unclear | long=0.344232 short=0.655407 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 02:45:00 close=0.005525
2026-05-31T03:15:05+00:00 | unclear | long=0.211128 short=0.788585 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 03:00:00 close=0.005529
2026-05-31T03:30:06+00:00 | unclear | long=0.217727 short=0.781980 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 03:15:00 close=0.005530
2026-05-31T03:45:05+00:00 | unclear | long=0.169516 short=0.830220 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 03:30:00 close=0.005531
2026-05-31T04:00:07+00:00 | unclear | long=0.169669 short=0.830068 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 03:45:00 close=0.005533
2026-05-31T04:15:08+00:00 | unclear | long=0.121625 short=0.878148 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 04:00:00 close=0.005532
2026-05-31T04:30:05+00:00 | unclear | long=0.122351 short=0.877419 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 04:15:00 close=0.005536
2026-05-31T04:45:05+00:00 | unclear | long=0.127570 short=0.872199 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 04:30:00 close=0.005542
2026-05-31T05:00:06+00:00 | unclear | long=0.114502 short=0.885278 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 04:45:00 close=0.005540
2026-05-31T05:15:04+00:00 | unclear | long=0.137270 short=0.862493 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 05:00:00 close=0.005531
2026-05-31T05:30:06+00:00 | unclear | long=0.112069 short=0.887713 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-05-31 05:15:00 close=0.005532
