2026-08-18T00:15:11+00:00 | unclear | long=0.128461 short=0.871305 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 00:00:00 close=0.004474
2026-08-18T00:30:09+00:00 | unclear | long=0.289741 short=0.709925 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 00:15:00 close=0.004471
2026-08-18T00:45:08+00:00 | unclear | long=0.599954 short=0.399603 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 00:30:00 close=0.004472
2026-08-18T01:00:06+00:00 | unclear | long=0.881135 short=0.118415 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 00:45:00 close=0.004470
2026-08-18T01:15:08+00:00 | unclear | long=0.713648 short=0.285906 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 01:00:00 close=0.004473
2026-08-18T01:30:08+00:00 | unclear | long=0.666790 short=0.332771 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 01:15:00 close=0.004461
2026-08-18T01:45:07+00:00 | unclear | long=0.509277 short=0.490321 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 01:30:00 close=0.004467
2026-08-18T02:00:10+00:00 | unclear | long=0.871710 short=0.127821 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 01:45:00 close=0.004453
2026-08-18T02:15:08+00:00 | unclear | long=0.657186 short=0.342354 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 02:00:00 close=0.004447
2026-08-18T02:30:08+00:00 | unclear | long=0.566490 short=0.433066 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 02:15:00 close=0.004435
2026-08-18T02:45:07+00:00 | unclear | long=0.589057 short=0.410500 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 02:30:00 close=0.004408
2026-08-18T03:00:11+00:00 | unclear | long=0.637110 short=0.362435 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 02:45:00 close=0.004383
2026-08-18T03:15:08+00:00 | unclear | long=0.546979 short=0.452587 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 03:00:00 close=0.004373
2026-08-18T03:30:07+00:00 | unclear | long=0.845644 short=0.153877 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 03:15:00 close=0.004371
2026-08-18T03:45:08+00:00 | unclear | long=0.894197 short=0.105337 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 03:30:00 close=0.004378
2026-08-18T04:00:07+00:00 | long    | long=0.933914 short=0.065620 | tp=0.004922 sl=0.004194 | 1000SHIBUSDT m15 | bar=2026-08-18 03:45:00 close=0.004365
2026-08-18T04:15:11+00:00 | unclear | long=0.512514 short=0.487054 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 04:00:00 close=0.004372
2026-08-18T04:30:06+00:00 | unclear | long=0.463752 short=0.535837 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 04:15:00 close=0.004383
2026-08-18T04:45:08+00:00 | unclear | long=0.269799 short=0.729876 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 04:30:00 close=0.004394
2026-08-18T05:00:07+00:00 | unclear | long=0.236311 short=0.763383 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-08-18 04:45:00 close=0.004392
