2026-02-27T00:15:09+00:00 | unclear | long=0.325415 short=0.674234 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 00:00:00 close=0.005965
2026-02-27T00:30:13+00:00 | unclear | long=0.411605 short=0.588011 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 00:15:00 close=0.005964
2026-02-27T00:45:10+00:00 | unclear | long=0.791992 short=0.207547 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 00:30:00 close=0.005960
2026-02-27T01:00:08+00:00 | unclear | long=0.633582 short=0.365980 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 00:45:00 close=0.005967
2026-02-27T01:15:08+00:00 | unclear | long=0.672934 short=0.326613 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 01:00:00 close=0.005958
2026-02-27T01:30:07+00:00 | unclear | long=0.486127 short=0.513461 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 01:15:00 close=0.005966
2026-02-27T01:45:09+00:00 | unclear | long=0.512385 short=0.487201 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 01:30:00 close=0.005959
2026-02-27T02:00:07+00:00 | unclear | long=0.326811 short=0.672838 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 01:45:00 close=0.005980
2026-02-27T02:15:10+00:00 | unclear | long=0.321985 short=0.677667 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 02:00:00 close=0.005974
2026-02-27T02:30:08+00:00 | unclear | long=0.264500 short=0.735182 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 02:15:00 close=0.005980
2026-02-27T02:45:09+00:00 | unclear | long=0.279133 short=0.720538 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 02:30:00 close=0.005987
2026-02-27T03:00:08+00:00 | unclear | long=0.282694 short=0.716969 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 02:45:00 close=0.005973
2026-02-27T03:15:10+00:00 | unclear | long=0.295815 short=0.703840 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 03:00:00 close=0.005947
2026-02-27T03:30:09+00:00 | unclear | long=0.669359 short=0.330184 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 03:15:00 close=0.005934
2026-02-27T03:45:09+00:00 | unclear | long=0.726068 short=0.273469 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 03:30:00 close=0.005959
2026-02-27T04:00:09+00:00 | unclear | long=0.868750 short=0.130777 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-27 03:45:00 close=0.005987
