2026-02-14T00:15:10+00:00 | unclear | long=0.836473 short=0.163055 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 00:00:00 close=0.006305
2026-02-14T00:30:09+00:00 | long    | long=0.933198 short=0.066343 | tp=0.007109 sl=0.006058 | 1000SHIBUSDT m15 | bar=2026-02-14 00:15:00 close=0.006305
2026-02-14T00:45:06+00:00 | long    | long=0.907978 short=0.091565 | tp=0.007139 sl=0.006084 | 1000SHIBUSDT m15 | bar=2026-02-14 00:30:00 close=0.006332
2026-02-14T01:00:05+00:00 | unclear | long=0.826410 short=0.173124 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 00:45:00 close=0.006328
2026-02-14T01:15:10+00:00 | unclear | long=0.623010 short=0.376539 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 01:00:00 close=0.006344
2026-02-14T01:30:06+00:00 | unclear | long=0.289435 short=0.710226 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 01:15:00 close=0.006327
2026-02-14T01:45:11+00:00 | unclear | long=0.351402 short=0.648228 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 01:30:00 close=0.006314
2026-02-14T02:00:05+00:00 | unclear | long=0.648225 short=0.351316 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 01:45:00 close=0.006313
2026-02-14T02:15:10+00:00 | unclear | long=0.372790 short=0.626834 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 02:00:00 close=0.006324
2026-02-14T02:30:09+00:00 | unclear | long=0.310249 short=0.689402 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 02:15:00 close=0.006314
2026-02-14T02:45:10+00:00 | unclear | long=0.178291 short=0.821436 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 02:30:00 close=0.006329
2026-02-14T03:00:10+00:00 | unclear | long=0.226610 short=0.773090 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 02:45:00 close=0.006331
2026-02-14T03:15:06+00:00 | unclear | long=0.222873 short=0.776828 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 03:00:00 close=0.006341
2026-02-14T03:30:08+00:00 | unclear | long=0.248341 short=0.751343 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 03:15:00 close=0.006362
2026-02-14T03:45:05+00:00 | unclear | long=0.184844 short=0.814876 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 03:30:00 close=0.006389
2026-02-14T04:00:07+00:00 | unclear | long=0.167359 short=0.832368 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-02-14 03:45:00 close=0.006386
