2026-06-14T00:15:06+00:00 | unclear | long=0.353412 short=0.646218 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 00:00:00 close=0.005014
2026-06-14T00:30:06+00:00 | unclear | long=0.319131 short=0.680517 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 00:15:00 close=0.005009
2026-06-14T00:45:07+00:00 | unclear | long=0.257874 short=0.741813 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 00:30:00 close=0.005009
2026-06-14T01:00:07+00:00 | unclear | long=0.241527 short=0.758169 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 00:45:00 close=0.005012
2026-06-14T01:15:06+00:00 | unclear | long=0.245965 short=0.753726 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 01:00:00 close=0.005019
2026-06-14T01:30:07+00:00 | unclear | long=0.251128 short=0.748559 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 01:15:00 close=0.005013
2026-06-14T01:45:04+00:00 | unclear | long=0.243766 short=0.755923 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 01:30:00 close=0.005015
2026-06-14T02:00:06+00:00 | unclear | long=0.214807 short=0.784901 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 01:45:00 close=0.005021
2026-06-14T02:15:09+00:00 | unclear | long=0.116092 short=0.883688 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 02:00:00 close=0.005024
2026-06-14T02:30:04+00:00 | short   | long=0.082988 short=0.916818 | tp=0.004458 sl=0.005231 | 1000SHIBUSDT m15 | bar=2026-06-14 02:15:00 close=0.005026
2026-06-14T02:45:15+00:00 | short   | long=0.097773 short=0.902019 | tp=0.004451 sl=0.005224 | 1000SHIBUSDT m15 | bar=2026-06-14 02:30:00 close=0.005019
2026-06-14T03:00:08+00:00 | unclear | long=0.192868 short=0.806850 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 02:45:00 close=0.005016
2026-06-14T03:15:06+00:00 | unclear | long=0.283170 short=0.716498 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 03:00:00 close=0.005005
2026-06-14T03:30:04+00:00 | unclear | long=0.237738 short=0.761959 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 03:15:00 close=0.005022
2026-06-14T03:45:07+00:00 | unclear | long=0.203120 short=0.796599 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 03:30:00 close=0.005012
2026-06-14T04:00:08+00:00 | unclear | long=0.274460 short=0.725215 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 03:45:00 close=0.005024
2026-06-14T04:15:08+00:00 | unclear | long=0.243880 short=0.755810 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 04:00:00 close=0.005013
2026-06-14T04:30:04+00:00 | unclear | long=0.264138 short=0.735545 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 04:15:00 close=0.005012
2026-06-14T04:45:05+00:00 | unclear | long=0.166215 short=0.833524 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 04:30:00 close=0.004996
2026-06-14T05:00:06+00:00 | unclear | long=0.166368 short=0.833369 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 04:45:00 close=0.004999
2026-06-14T05:15:06+00:00 | unclear | long=0.158546 short=0.841197 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 05:00:00 close=0.004997
2026-06-14T05:30:07+00:00 | unclear | long=0.116459 short=0.883316 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 05:15:00 close=0.004990
2026-06-14T05:45:06+00:00 | unclear | long=0.124837 short=0.874931 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 05:30:00 close=0.005009
2026-06-14T06:00:12+00:00 | short   | long=0.096651 short=0.903133 | tp=0.004445 sl=0.005217 | 1000SHIBUSDT m15 | bar=2026-06-14 05:45:00 close=0.005012
2026-06-14T06:15:07+00:00 | unclear | long=0.117219 short=0.882552 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 06:00:00 close=0.005010
2026-06-14T06:30:09+00:00 | unclear | long=0.122239 short=0.877526 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 06:15:00 close=0.005012
2026-06-14T06:45:07+00:00 | unclear | long=0.261073 short=0.738602 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 06:30:00 close=0.005003
2026-06-14T07:00:09+00:00 | unclear | long=0.109042 short=0.890737 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 06:45:00 close=0.005004
2026-06-14T07:15:06+00:00 | unclear | long=0.114609 short=0.885167 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 07:00:00 close=0.004998
2026-06-14T07:30:08+00:00 | unclear | long=0.176059 short=0.823665 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 07:15:00 close=0.005009
2026-06-14T07:45:08+00:00 | unclear | long=0.206009 short=0.793693 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 07:30:00 close=0.004994
2026-06-14T08:00:08+00:00 | unclear | long=0.194572 short=0.805140 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 07:45:00 close=0.005005
2026-06-14T08:15:06+00:00 | short   | long=0.089440 short=0.910356 | tp=0.004438 sl=0.005208 | 1000SHIBUSDT m15 | bar=2026-06-14 08:00:00 close=0.005004
2026-06-14T08:30:06+00:00 | unclear | long=0.211078 short=0.788622 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 08:15:00 close=0.005008
2026-06-14T08:45:07+00:00 | unclear | long=0.302892 short=0.696756 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 08:30:00 close=0.005012
2026-06-14T09:00:05+00:00 | unclear | long=0.352770 short=0.646853 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-06-14 08:45:00 close=0.005001
