2026-07-05T00:15:06+00:00 | short   | long=0.087717 short=0.912083 | tp=0.003933 sl=0.004616 | 1000SHIBUSDT m15 | bar=2026-07-05 00:00:00 close=0.004435
2026-07-05T00:30:05+00:00 | unclear | long=0.301439 short=0.698234 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 00:15:00 close=0.004427
2026-07-05T00:45:17+00:00 | unclear | long=0.424582 short=0.575028 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 00:30:00 close=0.004432
2026-07-05T01:00:06+00:00 | unclear | long=0.422282 short=0.577325 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 00:45:00 close=0.004418
2026-07-05T01:15:04+00:00 | unclear | long=0.481506 short=0.518081 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 01:00:00 close=0.004414
2026-07-05T01:30:05+00:00 | unclear | long=0.722501 short=0.277040 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 01:15:00 close=0.004398
2026-07-05T01:45:04+00:00 | unclear | long=0.870427 short=0.129107 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 01:30:00 close=0.004388
2026-07-05T02:00:10+00:00 | unclear | long=0.844243 short=0.155291 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 01:45:00 close=0.004401
2026-07-05T02:15:08+00:00 | unclear | long=0.848119 short=0.151418 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 02:00:00 close=0.004377
2026-07-05T02:30:07+00:00 | unclear | long=0.726903 short=0.272634 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 02:15:00 close=0.004366
2026-07-05T02:45:04+00:00 | unclear | long=0.796194 short=0.203348 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 02:30:00 close=0.004351
2026-07-05T03:00:07+00:00 | unclear | long=0.699406 short=0.300133 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 02:45:00 close=0.004355
2026-07-05T03:15:05+00:00 | unclear | long=0.646245 short=0.353310 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 03:00:00 close=0.004362
2026-07-05T03:30:05+00:00 | unclear | long=0.338876 short=0.660764 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 03:15:00 close=0.004347
2026-07-05T03:45:05+00:00 | unclear | long=0.591910 short=0.407646 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 03:30:00 close=0.004345
2026-07-05T04:00:07+00:00 | unclear | long=0.715199 short=0.284324 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 03:45:00 close=0.004341
2026-07-05T04:15:08+00:00 | unclear | long=0.220935 short=0.778762 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 04:00:00 close=0.004326
2026-07-05T04:30:06+00:00 | unclear | long=0.743750 short=0.255776 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 04:15:00 close=0.004339
2026-07-05T04:45:08+00:00 | unclear | long=0.371004 short=0.628617 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 04:30:00 close=0.004342
2026-07-05T05:00:06+00:00 | unclear | long=0.411384 short=0.588223 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 04:45:00 close=0.004333
2026-07-05T05:15:09+00:00 | unclear | long=0.542238 short=0.457329 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 05:00:00 close=0.004335
2026-07-05T05:30:05+00:00 | unclear | long=0.739837 short=0.259692 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 05:15:00 close=0.004333
2026-07-05T05:45:06+00:00 | unclear | long=0.705499 short=0.294034 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 05:30:00 close=0.004314
2026-07-05T06:00:08+00:00 | unclear | long=0.761325 short=0.238202 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 05:45:00 close=0.004311
2026-07-05T06:15:07+00:00 | unclear | long=0.867418 short=0.132100 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 06:00:00 close=0.004313
2026-07-05T06:30:07+00:00 | unclear | long=0.663539 short=0.336008 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 06:15:00 close=0.004319
2026-07-05T06:45:07+00:00 | unclear | long=0.533030 short=0.466546 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 06:30:00 close=0.004316
