2026-03-19T00:15:07+00:00 | unclear | long=0.505350 short=0.494240 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 00:00:00 close=0.005820
2026-03-19T00:30:08+00:00 | unclear | long=0.400097 short=0.599519 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 00:15:00 close=0.005808
2026-03-19T00:45:05+00:00 | unclear | long=0.605630 short=0.393928 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 00:30:00 close=0.005802
2026-03-19T01:00:04+00:00 | long    | long=0.924082 short=0.075460 | tp=0.006539 sl=0.005573 | 1000SHIBUSDT m15 | bar=2026-03-19 00:45:00 close=0.005800
2026-03-19T01:15:06+00:00 | long    | long=0.915286 short=0.084258 | tp=0.006535 sl=0.005569 | 1000SHIBUSDT m15 | bar=2026-03-19 01:00:00 close=0.005796
2026-03-19T01:30:05+00:00 | long    | long=0.915530 short=0.084014 | tp=0.006545 sl=0.005577 | 1000SHIBUSDT m15 | bar=2026-03-19 01:15:00 close=0.005805
2026-03-19T01:45:04+00:00 | unclear | long=0.772839 short=0.226714 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 01:30:00 close=0.005804
2026-03-19T02:00:05+00:00 | unclear | long=0.881353 short=0.118195 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 01:45:00 close=0.005788
2026-03-19T02:15:05+00:00 | unclear | long=0.812871 short=0.186669 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 02:00:00 close=0.005792
2026-03-19T02:30:06+00:00 | unclear | long=0.684582 short=0.314959 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 02:15:00 close=0.005805
2026-03-19T02:45:05+00:00 | unclear | long=0.583908 short=0.415658 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 02:30:00 close=0.005804
2026-03-19T03:00:05+00:00 | unclear | long=0.651871 short=0.347674 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 02:45:00 close=0.005791
2026-03-19T03:15:06+00:00 | unclear | long=0.827967 short=0.171560 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-19 03:00:00 close=0.005808
