2026-03-17T00:15:04+00:00 | unclear | long=0.208344 short=0.791364 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 00:00:00 close=0.006221
2026-03-17T00:30:05+00:00 | unclear | long=0.377139 short=0.622489 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 00:15:00 close=0.006207
2026-03-17T00:45:06+00:00 | unclear | long=0.480772 short=0.518810 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 00:30:00 close=0.006203
2026-03-17T01:00:06+00:00 | unclear | long=0.237642 short=0.762059 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 00:45:00 close=0.006221
2026-03-17T01:15:07+00:00 | unclear | long=0.171318 short=0.828425 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 01:00:00 close=0.006215
2026-03-17T01:30:06+00:00 | unclear | long=0.192149 short=0.807579 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 01:15:00 close=0.006213
2026-03-17T01:45:07+00:00 | unclear | long=0.273462 short=0.726209 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 01:30:00 close=0.006205
2026-03-17T02:00:05+00:00 | unclear | long=0.265691 short=0.733985 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 01:45:00 close=0.006198
2026-03-17T02:15:04+00:00 | unclear | long=0.176535 short=0.823200 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 02:00:00 close=0.006195
2026-03-17T02:30:05+00:00 | unclear | long=0.171475 short=0.828265 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 02:15:00 close=0.006171
2026-03-17T02:45:06+00:00 | unclear | long=0.163713 short=0.836031 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 02:30:00 close=0.006245
2026-03-17T03:00:06+00:00 | unclear | long=0.146530 short=0.853231 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 02:45:00 close=0.006207
2026-03-17T03:15:05+00:00 | unclear | long=0.117881 short=0.881902 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 03:00:00 close=0.006167
2026-03-17T03:30:04+00:00 | short   | long=0.083074 short=0.916743 | tp=0.005494 sl=0.006447 | 1000SHIBUSDT m15 | bar=2026-03-17 03:15:00 close=0.006194
2026-03-17T03:45:04+00:00 | short   | long=0.095049 short=0.904753 | tp=0.005432 sl=0.006375 | 1000SHIBUSDT m15 | bar=2026-03-17 03:30:00 close=0.006125
2026-03-17T04:00:11+00:00 | short   | long=0.095974 short=0.903828 | tp=0.005452 sl=0.006398 | 1000SHIBUSDT m15 | bar=2026-03-17 03:45:00 close=0.006147
2026-03-17T04:15:04+00:00 | unclear | long=0.120228 short=0.879549 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 04:00:00 close=0.006148
2026-03-17T04:30:04+00:00 | unclear | long=0.153726 short=0.846025 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 04:15:00 close=0.006104
2026-03-17T04:45:05+00:00 | unclear | long=0.239780 short=0.759920 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 04:30:00 close=0.006067
2026-03-17T05:00:05+00:00 | unclear | long=0.185091 short=0.814636 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 04:45:00 close=0.006087
2026-03-17T05:15:06+00:00 | unclear | long=0.193446 short=0.806277 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 05:00:00 close=0.006090
2026-03-17T05:30:07+00:00 | unclear | long=0.135212 short=0.864554 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 05:15:00 close=0.006091
2026-03-17T05:45:03+00:00 | unclear | long=0.433434 short=0.566175 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 05:30:00 close=0.006041
2026-03-17T06:00:04+00:00 | unclear | long=0.299312 short=0.700349 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 05:45:00 close=0.006062
2026-03-17T06:15:07+00:00 | unclear | long=0.459899 short=0.539706 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 06:00:00 close=0.006074
2026-03-17T06:30:08+00:00 | unclear | long=0.134904 short=0.864860 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 06:15:00 close=0.006077
2026-03-17T06:45:06+00:00 | unclear | long=0.337842 short=0.661797 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 06:30:00 close=0.006058
2026-03-17T07:00:05+00:00 | unclear | long=0.329934 short=0.669711 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 06:45:00 close=0.006062
2026-03-17T07:15:08+00:00 | unclear | long=0.246484 short=0.753211 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 07:00:00 close=0.006079
2026-03-17T07:30:05+00:00 | unclear | long=0.117348 short=0.882433 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 07:15:00 close=0.006087
2026-03-17T07:45:04+00:00 | short   | long=0.085860 short=0.913946 | tp=0.005398 sl=0.006334 | 1000SHIBUSDT m15 | bar=2026-03-17 07:30:00 close=0.006086
2026-03-17T08:00:08+00:00 | unclear | long=0.138482 short=0.861277 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 07:45:00 close=0.006088
2026-03-17T08:15:07+00:00 | unclear | long=0.217151 short=0.782556 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 08:00:00 close=0.006082
2026-03-17T08:30:04+00:00 | unclear | long=0.441904 short=0.557694 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 08:15:00 close=0.006088
2026-03-17T08:45:07+00:00 | unclear | long=0.697710 short=0.301821 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 08:30:00 close=0.006116
2026-03-17T09:00:05+00:00 | unclear | long=0.352503 short=0.647126 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 08:45:00 close=0.006109
2026-03-17T09:15:04+00:00 | unclear | long=0.295268 short=0.704384 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 09:00:00 close=0.006097
2026-03-17T09:30:05+00:00 | unclear | long=0.142143 short=0.857612 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 09:15:00 close=0.006118
2026-03-17T09:45:04+00:00 | unclear | long=0.238060 short=0.761633 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 09:30:00 close=0.006111
2026-03-17T10:00:15+00:00 | unclear | long=0.210263 short=0.789446 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 09:45:00 close=0.006096
2026-03-17T10:15:08+00:00 | unclear | long=0.251978 short=0.747706 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 10:00:00 close=0.006084
2026-03-17T10:30:05+00:00 | unclear | long=0.247909 short=0.751781 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 10:15:00 close=0.006093
2026-03-17T10:45:05+00:00 | unclear | long=0.299994 short=0.699665 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 10:30:00 close=0.006088
2026-03-17T11:00:06+00:00 | unclear | long=0.385451 short=0.614164 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 10:45:00 close=0.006094
2026-03-17T11:15:05+00:00 | unclear | long=0.526670 short=0.472899 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 11:00:00 close=0.006106
2026-03-17T11:30:04+00:00 | unclear | long=0.365719 short=0.633908 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 11:15:00 close=0.006093
2026-03-17T11:45:05+00:00 | unclear | long=0.355842 short=0.643783 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 11:30:00 close=0.006085
2026-03-17T12:05:08+00:00 | unclear | long=0.276500 short=0.723164 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 11:45:00 close=0.006065
2026-03-17T12:15:05+00:00 | unclear | long=0.271477 short=0.728192 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 12:00:00 close=0.006047
2026-03-17T12:30:06+00:00 | unclear | long=0.333711 short=0.665924 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 12:15:00 close=0.006025
2026-03-17T12:45:11+00:00 | unclear | long=0.501370 short=0.498197 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 12:30:00 close=0.006009
2026-03-17T13:00:04+00:00 | unclear | long=0.464831 short=0.534751 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 12:45:00 close=0.005964
2026-03-17T13:15:07+00:00 | unclear | long=0.511739 short=0.487828 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 13:00:00 close=0.005977
2026-03-17T13:30:06+00:00 | unclear | long=0.483961 short=0.515615 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 13:15:00 close=0.005982
2026-03-17T13:45:05+00:00 | unclear | long=0.455684 short=0.543896 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 13:30:00 close=0.005995
2026-03-17T14:00:06+00:00 | unclear | long=0.192598 short=0.807115 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 13:45:00 close=0.005994
2026-03-17T14:15:07+00:00 | unclear | long=0.118718 short=0.881053 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 14:00:00 close=0.006011
2026-03-17T14:30:04+00:00 | short   | long=0.092525 short=0.907267 | tp=0.005334 sl=0.006259 | 1000SHIBUSDT m15 | bar=2026-03-17 14:15:00 close=0.006014
2026-03-17T14:45:07+00:00 | short   | long=0.076334 short=0.923472 | tp=0.005333 sl=0.006258 | 1000SHIBUSDT m15 | bar=2026-03-17 14:30:00 close=0.006013
2026-03-17T15:00:06+00:00 | unclear | long=0.129870 short=0.869891 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 14:45:00 close=0.006019
2026-03-17T15:15:05+00:00 | unclear | long=0.215687 short=0.784016 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 15:00:00 close=0.005997
2026-03-17T15:30:06+00:00 | unclear | long=0.192555 short=0.807163 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 15:15:00 close=0.005995
2026-03-17T15:45:05+00:00 | unclear | long=0.170554 short=0.829178 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 15:30:00 close=0.005991
2026-03-17T16:00:06+00:00 | unclear | long=0.135095 short=0.864666 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 15:45:00 close=0.006019
2026-03-17T16:15:03+00:00 | unclear | long=0.402674 short=0.596934 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 16:00:00 close=0.006016
2026-03-17T16:30:02+00:00 | unclear | long=0.172346 short=0.827386 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 16:15:00 close=0.006026
2026-03-17T16:45:07+00:00 | unclear | long=0.205864 short=0.793847 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 16:30:00 close=0.006027
2026-03-17T17:00:04+00:00 | unclear | long=0.170735 short=0.829003 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 16:45:00 close=0.006026
2026-03-17T17:15:09+00:00 | unclear | long=0.171514 short=0.828222 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 17:00:00 close=0.006032
2026-03-17T17:30:04+00:00 | unclear | long=0.188733 short=0.810990 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 17:15:00 close=0.006036
2026-03-17T17:45:09+00:00 | unclear | long=0.191387 short=0.808337 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 17:30:00 close=0.006045
2026-03-17T18:00:08+00:00 | unclear | long=0.144008 short=0.855745 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 17:45:00 close=0.006066
2026-03-17T18:15:05+00:00 | unclear | long=0.112744 short=0.887032 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 18:00:00 close=0.006080
2026-03-17T18:30:06+00:00 | unclear | long=0.159503 short=0.840243 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 18:15:00 close=0.006058
2026-03-17T18:45:05+00:00 | unclear | long=0.186330 short=0.813398 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 18:30:00 close=0.006072
2026-03-17T19:00:04+00:00 | unclear | long=0.138981 short=0.860779 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-17 18:45:00 close=0.006080
