2026-03-14T00:15:04+00:00 | long    | long=0.915641 short=0.083896 | tp=0.006674 sl=0.005687 | 1000SHIBUSDT m15 | bar=2026-03-14 00:00:00 close=0.005919
2026-03-14T00:30:07+00:00 | long    | long=0.921270 short=0.078267 | tp=0.006685 sl=0.005697 | 1000SHIBUSDT m15 | bar=2026-03-14 00:15:00 close=0.005929
2026-03-14T00:45:04+00:00 | long    | long=0.923896 short=0.075640 | tp=0.006660 sl=0.005675 | 1000SHIBUSDT m15 | bar=2026-03-14 00:30:00 close=0.005907
2026-03-14T01:00:05+00:00 | long    | long=0.942119 short=0.057416 | tp=0.006660 sl=0.005675 | 1000SHIBUSDT m15 | bar=2026-03-14 00:45:00 close=0.005907
2026-03-14T01:15:06+00:00 | long    | long=0.949767 short=0.049763 | tp=0.006659 sl=0.005674 | 1000SHIBUSDT m15 | bar=2026-03-14 01:00:00 close=0.005906
2026-03-14T01:30:07+00:00 | long    | long=0.932091 short=0.067445 | tp=0.006688 sl=0.005699 | 1000SHIBUSDT m15 | bar=2026-03-14 01:15:00 close=0.005932
2026-03-14T01:45:06+00:00 | long    | long=0.925059 short=0.074473 | tp=0.006684 sl=0.005696 | 1000SHIBUSDT m15 | bar=2026-03-14 01:30:00 close=0.005928
2026-03-14T02:00:05+00:00 | unclear | long=0.893682 short=0.105859 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 01:45:00 close=0.005923
2026-03-14T02:15:04+00:00 | long    | long=0.900394 short=0.099146 | tp=0.006686 sl=0.005697 | 1000SHIBUSDT m15 | bar=2026-03-14 02:00:00 close=0.005930
2026-03-14T02:30:05+00:00 | unclear | long=0.807424 short=0.192106 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 02:15:00 close=0.005920
2026-03-14T02:45:06+00:00 | unclear | long=0.803480 short=0.196040 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 02:30:00 close=0.005917
2026-03-14T03:00:07+00:00 | unclear | long=0.618684 short=0.380867 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 02:45:00 close=0.005943
2026-03-14T03:15:06+00:00 | unclear | long=0.504817 short=0.494757 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 03:00:00 close=0.005940
2026-03-14T03:30:05+00:00 | unclear | long=0.895357 short=0.104165 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 03:15:00 close=0.005939
2026-03-14T03:45:06+00:00 | unclear | long=0.779225 short=0.220300 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 03:30:00 close=0.005942
2026-03-14T04:00:05+00:00 | unclear | long=0.810488 short=0.189036 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 03:45:00 close=0.005947
2026-03-14T04:15:07+00:00 | unclear | long=0.657294 short=0.342239 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 04:00:00 close=0.005955
2026-03-14T04:30:05+00:00 | unclear | long=0.741876 short=0.257646 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 04:15:00 close=0.005961
2026-03-14T04:45:07+00:00 | unclear | long=0.665673 short=0.333863 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 04:30:00 close=0.005981
2026-03-14T05:00:08+00:00 | unclear | long=0.561554 short=0.437999 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 04:45:00 close=0.005944
2026-03-14T05:15:05+00:00 | unclear | long=0.558094 short=0.441462 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 05:00:00 close=0.005932
2026-03-14T05:30:04+00:00 | unclear | long=0.602181 short=0.397363 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 05:15:00 close=0.005929
2026-03-14T05:45:04+00:00 | unclear | long=0.720956 short=0.278562 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 05:30:00 close=0.005916
2026-03-14T06:00:05+00:00 | unclear | long=0.697397 short=0.302126 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 05:45:00 close=0.005923
2026-03-14T06:20:06+00:00 | unclear | long=0.750275 short=0.249245 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 06:00:00 close=0.005905
2026-03-14T06:30:04+00:00 | unclear | long=0.660207 short=0.339324 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-03-14 06:15:00 close=0.005881
